Character,Pīnyīn,English,shared_by,ch_tag,eng_tag
難遭遇,nán zāo yù,difficult to encounter; hard to come upon,,普門品,pumen_pin
真實義,zhēn shí yì,true meaning; the real and actual meaning,,普門品,pumen_pin
觀世音,guān shì yīn,Guanshiyin; Contemplator of the World's Sounds (Skt. Avalokiteśvara),,普門品,pumen_pin
普門品,pǔ mén pǐn,Universal Door Chapter; the chapter on the Universal Gateway,,普門品,pumen_pin
無盡意,wú jìn yì,Inexhaustible Intention; Infinite Resolve (the Bodhisattva Akṣayamati),,普門品,pumen_pin
從座起,cóng zuò qǐ,rose from his seat; got up from where he was sitting,,普門品,pumen_pin
作是言,zuò shì yán,spoke thus; said these words,,普門品,pumen_pin
善男子,shàn nán zǐ,good man; son of good family (Skt. kulaputra),,普門品,pumen_pin
得解脫,dé jiě tuō,to attain liberation; to be set free,,普門品,pumen_pin
不能燒,bù néng shāo,cannot burn; is unable to burn,,普門品,pumen_pin
威神力,wēi shén lì,awesome spiritual power; majestic numinous power,,普門品,pumen_pin
是諸人,shì zhū rén,these people; all these persons,,普門品,pumen_pin
尚不能,shàng bù néng,still cannot; are not even able to,,普門品,pumen_pin
無畏施,wú wèi shī,the bestowal of fearlessness; the gift of fearlessness,,普門品,pumen_pin
於眾生,yú zhòng shēng,upon living beings; to sentient beings,,普門品,pumen_pin
稱其名,chēng qí míng,to recite his name; to call out his name,,普門品,pumen_pin
福德智,fú dé zhì,"blessed, virtuous, and wise; of merit, virtue, and wisdom",,普門品,pumen_pin
植德本,zhí dé běn,to plant roots of virtue; to have sown wholesome roots,,普門品,pumen_pin
不唐捐,bù táng juān,not in vain; not wasted; will not be fruitless,,普門品,pumen_pin
恆河沙,héng hé shā,grains of sand in the Ganges; as numerous as Ganges sands (Skt. gaṅgā-nadī-vālukā),,普門品,pumen_pin
善女人,shàn nǚ rén,good woman; daughter of good family (Skt. kuladuhitṛ),,普門品,pumen_pin
辟支佛,pì zhī fó,Pratyekabuddha; a solitary awakened one,,普門品,pumen_pin
自在天,zì zài tiān,God of Sovereignty; the Īśvara deity,,普門品,pumen_pin
毗沙門,pí shā mén,Vaishravana; the heavenly king Vaiśravaṇa,,普門品,pumen_pin
婆羅門,pó luó mén,Brahman; a brahmin (Skt. brāhmaṇa),,普門品,pumen_pin
比丘尼,bǐ qiū ní,Bhikshuni; a fully ordained nun (Skt. bhikṣuṇī),,普門品,pumen_pin
優婆塞,yōu pó sāi,Upasaka; a layman who has taken precepts,,普門品,pumen_pin
優婆夷,yōu pó yí,Upasika; a laywoman who has taken precepts,,普門品,pumen_pin
乾闥婆,qián tà pó,gandharva; a celestial musician,,普門品,pumen_pin
阿修羅,ē xiū luó,asura; a titan/anti-god,,普門品,pumen_pin
迦樓羅,jiā lóu luó,garuda; the great bird being,,普門品,pumen_pin
緊那羅,jǐn nuó luó,kinnara; a celestial musician being (Skt. kiṃnara),,普門品,pumen_pin
人非人,rén fēi rén,human and nonhuman (beings); humans and not-humans,,普門品,pumen_pin
執金剛,zhí jīn gāng,Vajra-wielding (spirit); the holder of the vajra (Skt. vajradhara/vajrapāṇi),,普門品,pumen_pin
白佛言,bái fó yán,said to the Buddha; addressed the Buddha saying,,普門品,pumen_pin
當供養,dāng gòng yàng,shall make offerings; about to make an offering,,普門品,pumen_pin
眾寶珠,zhòng bǎo zhū,necklace of precious pearls; a string of many jewels,,普門品,pumen_pin
不肯受,bù kěn shòu,refused to accept; was unwilling to receive,,普門品,pumen_pin
愍我等,mǐn wǒ děng,take pity on us; out of compassion for us,,普門品,pumen_pin
多寶佛,duō bǎo fó,Many Jewels Buddha; the Buddha Prabhūtaratna,,普門品,pumen_pin
妙相具,miào xiàng jù,complete with wondrous marks; endowed with marvelous features,,普門品,pumen_pin
深如海,shēn rú hǎi,deep as the sea; as profound as the ocean,,普門品,pumen_pin
觀音行,guān yīn xíng,the practice of Guanyin; the conduct/deeds of Avalokiteśvara,,普門品,pumen_pin
諸方所,zhū fāng suǒ,in all places; everywhere,,普門品,pumen_pin
不思議,bù sī yì,inconceivable; beyond thought (Skt. acintya),,普門品,pumen_pin
不空過,bù kōng guò,not passing in vain; not spent fruitlessly,,普門品,pumen_pin
諸有苦,zhū yǒu kǔ,the suffering of all realms of existence; the pains of all states of being,,普門品,pumen_pin
觀音力,guān yīn lì,the power/strength of Guanyin,,普門品,pumen_pin
興害意,xīng hài yì,harbors harmful intent; gives rise to thoughts of harm,,普門品,pumen_pin
變成池,biàn chéng chí,turns into a pool; becomes a pond,,普門品,pumen_pin
不能沒,bù néng mò,cannot drown (you); will not sink,,普門品,pumen_pin
須彌峰,xū mí fēng,the peak of Mount Sumeru; the summit of Sumeru,,普門品,pumen_pin
金剛山,jīn gāng shān,Vajra Mountain; the adamantine mountain,,普門品,pumen_pin
不能損,bù néng sǔn,cannot harm; unable to injure,,普門品,pumen_pin
怨賊繞,yuàn zéi rào,surrounded by vicious bandits; ringed by hateful robbers,,普門品,pumen_pin
各執刀,gè zhí dāo,each wielding knives; each grasping a blade,,普門品,pumen_pin
起慈心,qǐ cí xīn,to give rise to compassion; to bring forth a kind heart,,普門品,pumen_pin
欲壽終,yù shòu zhōng,about to lose one's life; on the point of death,,普門品,pumen_pin
被杻械,bèi chǒu xiè,bound in stocks; shackled by manacles,,普門品,pumen_pin
諸毒藥,zhū dú yào,poisons; various toxic substances,,普門品,pumen_pin
惡羅剎,è luó chà,evil rakshasas; malicious flesh-eating demons,,普門品,pumen_pin
不敢害,bù gǎn hài,dare not harm; will not dare to do injury,,普門品,pumen_pin
利牙爪,lì yá zhǎo,sharp fangs and claws; razor teeth and talons,,普門品,pumen_pin
自迴去,zì huí qù,turn away of themselves; run off on their own,,普門品,pumen_pin
無邊方,wú biān fāng,in every direction; far and wide,,普門品,pumen_pin
妙智力,miào zhì lì,wondrous wisdom-power; the power of marvelous wisdom,,普門品,pumen_pin
被困厄,bèi kùn è,beset by hardship; afflicted with adversity,,普門品,pumen_pin
諸國土,zhū guó tǔ,all lands; the many countries,,普門品,pumen_pin
神通力,shén tōng lì,power of spiritual penetration; psychic power,,普門品,pumen_pin
智方便,zhì fāng biàn,wisdom and expedient means; wisdom and skillful methods,,普門品,pumen_pin
災風火,zāi fēng huǒ,calamities of wind and fire; disasters of storm and flame,,普門品,pumen_pin
清淨光,qīng jìng guāng,pure light; undefiled radiance,,普門品,pumen_pin
破諸闇,pò zhū àn,breaks through all darkness; dispels every gloom,,普門品,pumen_pin
清淨觀,qīng jìng guān,Pure Contemplator; pure contemplation,,普門品,pumen_pin
經官處,jīng guān chù,going before the magistrate; in the official courts,,普門品,pumen_pin
海潮音,hǎi cháo yīn,the sound of the sea tide; voice like the ocean's tide,,普門品,pumen_pin
作依怙,zuò yī hù,to be a refuge and protector; to serve as support and reliance,,普門品,pumen_pin
勿生疑,wù shēng yí,let no doubt arise; do not give rise to doubt,,普門品,pumen_pin
須常念,xū cháng niàn,one should constantly be mindful; ought always to keep him in mind,,普門品,pumen_pin
誓弘深,shì hóng shēn,vows vast and deep; oaths broad and profound,,普門品,pumen_pin
一念心,yí niàn xīn,a single thought; one-pointed mind,,普門品,pumen_pin
無罣礙,wú guà ài,unobstructed; without hindrance (Skt. apratihata),,普門品,pumen_pin
住娑婆,zhù suō pó,residing in the Saha world; dwelling in the world of endurance,,普門品,pumen_pin
幽冥界,yōu míng jiè,the dark realms; the shadowy worlds of the dead,,普門品,pumen_pin
大慈悲,dà cí bēi,great kindness and compassion; the great compassion (Skt. mahā-karuṇā),,普門品,pumen_pin
能喜捨,néng xǐ shě,able to rejoice and give; capable of joyful generosity,,普門品,pumen_pin
清淨瓶,qīng jìng píng,vase of pure water; the pure flask,,普門品,pumen_pin
垂楊柳,chuí yáng liǔ,the hanging willow branch; the drooping willow,,普門品,pumen_pin
降邪魔,xiáng xié mó,subduing deviant demons; quelling evil spirits,,普門品,pumen_pin
除妖怪,chú yāo guài,dispelling dreadful monsters; getting rid of uncanny creatures,,普門品,pumen_pin
造法船,zào fǎ chuán,builds Dharma ships; constructs the vessel of Dharma,,普門品,pumen_pin
勤禮拜,qín lǐ bài,vigorously bowing in homage; diligently paying reverence,,普門品,pumen_pin
盡夜巡,jìn yè xún,roaming day and night; patrolling through the nights,,普門品,pumen_pin
無損壞,wú sǔn huài,without damage or decay; free of harm and ruin,,普門品,pumen_pin
端嚴身,duān yán shēn,"a well-formed body; an upright, dignified form",,普門品,pumen_pin
前幢幡,qián chuáng fān,banners in front; pennants and streamers before,,普門品,pumen_pin
後寶蓋,hòu bǎo gài,jeweled canopies behind; precious parasols in the back,,普門品,pumen_pin
觀音讚,guān yīn zàn,Praise to Guanyin; a hymn extolling Avalokiteśvara,,普門品,pumen_pin
妙難酬,miào nán chóu,wonderful past requiting; marvelous beyond repayment,,普門品,pumen_pin
累劫修,lěi jié xiū,cultivated through accumulated eons; practiced over ages,,普門品,pumen_pin
安足下,ān zú xià,rests beneath her foot; settles below the feet,,普門品,pumen_pin
鎖眉頭,suǒ méi tóu,framed in the brows; locked at the brow (like a crescent),,普門品,pumen_pin
不計秋,bù jì qiū,through countless autumns; uncounted years,,普門品,pumen_pin
千處應,qiān chù yìng,responding in a thousand places; answering in a thousand hearts,,普門品,pumen_pin
渡人舟,dù rén zhōu,the boat that ferries people; the vessel that carries beings over,,普門品,pumen_pin
普陀山,pǔ tuó shān,"Mount Putuo; Potalaka, the abode of Guanyin",,普門品,pumen_pin
楊枝淨水,yáng zhī jìng shuǐ,willow branch and pure water; the willow-branch-sprinkled pure water of the opening praise,,普門品,pumen_pin
百千萬劫,bǎi qiān wàn jié,hundreds of thousands of myriads of eons; an immense span of kalpas,,普門品,pumen_pin
偏袒右肩,piān tǎn yòu jiān,bared his right shoulder; uncovered the right shoulder (a gesture of respect),,普門品,pumen_pin
以何因緣,yǐ hé yīn yuán,for what reason; by what causes and conditions,,普門品,pumen_pin
百千萬億,bǎi qiān wàn yì,hundreds of thousands of myriads of kotis; an uncountably vast number,,普門品,pumen_pin
觀其音聲,guān qí yīn shēng,contemplates their voices; perceives the sounds of their cries,,普門品,pumen_pin
羅剎之難,luó chà zhī nàn,the difficulty/peril of the rakshasas,,普門品,pumen_pin
以是因緣,yǐ shì yīn yuán,for this reason; on account of these causes and conditions,,普門品,pumen_pin
臨當被害,lín dāng bèi hài,about to be harmed; on the verge of being killed,,普門品,pumen_pin
尋段段壞,xún duàn duàn huài,break into pieces; shatter bit by bit,,普門品,pumen_pin
杻械枷鎖,chǒu xiè jiā suǒ,"stocks and chains; manacles, fetters, cangue, and locks",,普門品,pumen_pin
作是唱言,zuò shì chàng yán,cries out thus; proclaims these words,,普門品,pumen_pin
大威神力,dà wēi shén lì,great awesome spiritual power; vast majestic numinous might,,普門品,pumen_pin
多所饒益,duō suǒ ráo yì,confers many benefits; brings abundant benefit,,普門品,pumen_pin
常應心念,cháng yīng xīn niàn,should always keep in mind; ought constantly to be mindful,,普門品,pumen_pin
有相之女,yǒu xiàng zhī nǚ,a daughter with good features; a comely daughter,,普門品,pumen_pin
恭敬禮拜,gōng jìng lǐ bài,to reverently bow; to pay homage with respect,,普門品,pumen_pin
六十二億,liù shí èr yì,sixty-two kotis; sixty-two hundred-million,,普門品,pumen_pin
正等無異,zhèng děng wú yì,exactly equal and no different; identical in every way,,普門品,pumen_pin
不可窮盡,bù kě qióng jìn,inexhaustible; cannot be used up,,普門品,pumen_pin
無量無邊,wú liàng wú biān,limitless and boundless; immeasurable and infinite,,普門品,pumen_pin
福德之利,fú dé zhī lì,the benefit of blessings and virtue,,普門品,pumen_pin
娑婆世界,suō pó shì jiè,the Saha world; the world of endurance (Skt. Sahā-lokadhātu),,普門品,pumen_pin
方便之力,fāng biàn zhī lì,the power of expedient means; the strength of skillful means,,普門品,pumen_pin
大自在天,dà zì zài tiān,Great God of Sovereignty; the Maheśvara deity,,普門品,pumen_pin
天大將軍,tiān dà jiāng jūn,great heavenly general; a mighty general of the gods,,普門品,pumen_pin
摩睺羅伽,mó hóu luó qié,mahoraga; a great serpent being,,普門品,pumen_pin
執金剛神,zhí jīn gāng shén,Vajra-wielding spirit; the vajra-bearing deity (Skt. Vajrapāṇi),,普門品,pumen_pin
一心供養,yì xīn gòng yàng,single-mindedly make offerings; offer with all one's heart,,普門品,pumen_pin
施無畏者,shī wú wèi zhě,Bestower of Fearlessness; the one who gives fearlessness,,普門品,pumen_pin
百千兩金,bǎi qiān liǎng jīn,hundreds of thousands of ounces of gold; a fortune in gold taels,,普門品,pumen_pin
天龍夜叉,tiān lóng yè chā,"gods, dragons, and yakshas; devas, nāgas, and yakṣas",,普門品,pumen_pin
自在神力,zì zài shén lì,sovereign spiritual power; the power of unimpeded self-mastery,,普門品,pumen_pin
分作二分,fēn zuò èr fēn,divided into two parts; split into two portions,,普門品,pumen_pin
多寶佛塔,duō bǎo fó tǎ,the stupa of Many Jewels Buddha; the reliquary tower of Prabhūtaratna,,普門品,pumen_pin
多千億佛,duō qiān yì fó,many thousands of kotis of Buddhas; countless thousands of Buddhas,,普門品,pumen_pin
大清淨願,dà qīng jìng yuàn,great pure vows; vast pristine vows,,普門品,pumen_pin
為人所推,wéi rén suǒ tuī,pushed by someone; shoved by another person,,普門品,pumen_pin
所欲害身,suǒ yù hài shēn,seeking to harm one's body; meaning to do one bodily harm,,普門品,pumen_pin
氣毒煙火,qì dú yān huǒ,"poisonous vapors, smoke, and fire; lethal fumes and flames",,普門品,pumen_pin
救世間苦,jiù shì jiān kǔ,to rescue the world from suffering; to save the world's pain,,普門品,pumen_pin
生老病死,shēng lǎo bìng sǐ,"birth, old age, sickness, and death; the four sufferings",,普門品,pumen_pin
苦惱死厄,kǔ nǎo sǐ è,"suffering, agony, and the peril of death; pain and the danger of dying",,普門品,pumen_pin
持地菩薩,chí dì pú sà,Bodhisattva Guardian of the Earth; the Bodhisattva Dharaṇiṃdhara,,普門品,pumen_pin
一切功德,yí qiè gōng dé,all merit and virtue; every meritorious quality,,普門品,pumen_pin
自在之業,zì zài zhī yè,the deeds of self-mastery; sovereign undertakings,,普門品,pumen_pin
八萬四千,bā wàn sì qiān,eighty-four thousand; a great number,,普門品,pumen_pin
觀音大士,guān yīn dà shì,Guanyin the Great Knight; the great being Avalokiteśvara (Skt. mahāsattva epithet),,普門品,pumen_pin
悉號圓通,xī hào yuán tōng,wholly titled Perfect Penetration; all named Complete Pervasion,,普門品,pumen_pin
十二大願,shí èr dà yuàn,the twelve great vows; the twelve mighty resolves,,普門品,pumen_pin
救苦尋聲,jiù kǔ xún shēng,"rescuing from suffering, following the sound; saving the afflicted by tracing their cries",,普門品,pumen_pin
廣發弘誓,guǎng fā hóng shì,extensively making great vows; vowing broadly with vast oaths,,普門品,pumen_pin
常居南海,cháng jū nán hǎi,constantly dwelling in the Southern Sea,,普門品,pumen_pin
尋聲救苦,xún shēng jiù kǔ,following the sound to rescue from suffering; tracing cries to save the afflicted,,普門品,pumen_pin
常行平等,cháng xíng píng děng,constantly practicing equanimity; ever acting with impartiality,,普門品,pumen_pin
甘露灑心,gān lù sǎ xīn,sprinkling sweet dew on the mind; nectar scattered into the heart,,普門品,pumen_pin
能除危險,néng chú wéi xiǎn,able to dissolve crises and dangers; capable of removing perils,,普門品,pumen_pin
度盡眾生,dù jìn zhòng shēng,to rescue all living beings; to ferry across every sentient being,,普門品,pumen_pin
枷鎖解脫,jiā suǒ jiě tuō,freedom from shackles and fetters; release from chains and locks,,普門品,pumen_pin
誓滅三途,shì miè sān tú,vowing to do away with the three evil paths; sworn to extinguish the three lower destinies,,普門品,pumen_pin
無量壽佛,wú liàng shòu fó,Buddha of Limitless Life; Amitāyus,,普門品,pumen_pin
彌陀受記,mí tuó shòu jì,receiving a prediction from Amitabha; given a prophecy by Amitābha,,普門品,pumen_pin
接引西方,jiē yǐn xī fāng,leading beings to the Western Land; receiving and guiding to the West,,普門品,pumen_pin
清淨莊嚴,qīng jìng zhuāng yán,pure and dignified adornment; clear and majestic ornamentation,,普門品,pumen_pin
灣灣秋月,wān wān qiū yuè,the curving autumn moon; the crescent of an autumn moon,,普門品,pumen_pin
瓶中甘露,píng zhōng gān lù,sweet dew within the vase; nectar in the flask,,普門品,pumen_pin
手內楊枝,shǒu nèi yáng zhī,the willow branch in her hand; the willow held in the hand,,普門品,pumen_pin
千處祈求,qiān chù qí qiú,prayers from a thousand places; entreaties departing a thousand hearts,,普門品,pumen_pin
琉璃世界,liú lí shì jiè,the Crystal Land; the lapis-lazuli world,,普門品,pumen_pin
大慈大悲,dà cí dà bēi,great kindness and great compassion; the boundless compassion (Skt. mahā-maitrī mahā-karuṇā),,普門品,pumen_pin
菩薩摩訶薩,pú sà mó hē sà,Bodhisattva Mahāsattva; great enlightening being,,普門品,pumen_pin
釋迦牟尼佛,shì jiā móu ní fó,Shakyamuni Buddha; the Buddha Śākyamuni,,普門品,pumen_pin
妙法蓮華經,miào fǎ lián huá jīng,Wonderful Dharma Lotus Flower Sutra; the Lotus Sūtra (Skt. Saddharmapuṇḍarīka-sūtra),,普門品,pumen_pin
觀世音菩薩,guān shì yīn pú sà,Guanshiyin Bodhisattva; the Bodhisattva Who Contemplates the Sounds of the World (Skt. Avalokiteśvara),,普門品,pumen_pin
無盡意菩薩,wú jìn yì pú sà,Inexhaustible Intention Bodhisattva; Bodhisattva Infinite Resolve (Skt. Akṣayamati),,普門品,pumen_pin
於汝意云何,yú rǔ yì yún hé,what do you think?; what is your opinion?,,普門品,pumen_pin
我為汝略說,wǒ wèi rǔ lüè shuō,I shall tell you in brief; let me explain to you concisely,,普門品,pumen_pin
心念不空過,xīn niàn bù kōng guò,mindful of his name unceasingly; thought of him not passing in vain,,普門品,pumen_pin
念彼觀音力,niàn bǐ guān yīn lì,be mindful of the power of Guanyin; evoke the strength of Guanyin,,普門品,pumen_pin
龍魚諸鬼難,lóng yú zhū guǐ nàn,"the perils of dragons, fish, and ghosts",,普門品,pumen_pin
如日虛空住,rú rì xū kōng zhù,stand firm as the sun in space; abide like the sun in the sky,,普門品,pumen_pin
刀尋段段壞,dāo xún duàn duàn huài,the knife breaks into pieces; the blade shatters bit by bit,,普門品,pumen_pin
釋然得解脫,shì rán dé jiě tuō,freed and liberated; the bonds open and one goes free,,普門品,pumen_pin
還著於本人,huán zhuó yú běn rén,returns upon the sender; recoils onto the one who cast it,,普門品,pumen_pin
無量苦逼身,wú liàng kǔ bī shēn,oppressed by limitless sufferings; countless pains pressing on the body,,普門品,pumen_pin
雲雷鼓掣電,yún léi gǔ chè diàn,"thunderclouds, drums of thunder, and flashing lightning",,普門品,pumen_pin
降雹澍大雨,jiàng báo shù dà yǔ,sending down hail and torrents of rain,,普門品,pumen_pin
生老病死苦,shēng lǎo bìng sǐ kǔ,"the suffering of birth, aging, sickness, and death",,普門品,pumen_pin
以漸悉令滅,yǐ jiàn xī lìng miè,gradually causes all to be wiped away; little by little extinguishes them all,,普門品,pumen_pin
種種諸惡趣,zhǒng zhǒng zhū è qù,the various evil destinies; all kinds of bad rebirths,,普門品,pumen_pin
地獄鬼畜生,dì yù guǐ chù shēng,"the hells, ghosts, and animals; the three lower realms",,普門品,pumen_pin
無剎不現身,wú chà bù xiàn shēn,there is no land where he does not appear; manifests in every realm,,普門品,pumen_pin
具足神通力,jù zú shén tōng lì,perfect in spiritual penetrations; complete in psychic power,,普門品,pumen_pin
普明照世間,pǔ míng zhào shì jiān,a universal light shining on all worlds; illuminating the whole world,,普門品,pumen_pin
常願常瞻仰,cháng yuàn cháng zhān yǎng,may we ever behold you with reverence; always wishing to gaze up in reverence,,普門品,pumen_pin
廣大智慧觀,guǎng dà zhì huì guān,Contemplator of vast great wisdom; contemplation of vast wisdom,,普門品,pumen_pin
怖畏軍陣中,bù wèi jūn zhèn zhōng,terrified amid battle ranks; in the dread of the battlefield,,普門品,pumen_pin
眾怨悉退散,zhòng yuàn xī tuì sàn,all enemies scatter and retreat; the many foes disperse,,普門品,pumen_pin
勝彼世間音,shèng bǐ shì jiān yīn,surpassing all worldly sounds; transcending mundane voices,,普門品,pumen_pin
悲體戒雷震,bēi tǐ jiè léi zhèn,"compassionate substance, the thunder of precepts; the precept-thunder of a compassionate nature",,普門品,pumen_pin
慈意妙大雲,cí yì miào dà yún,"kind intent, a wondrous great cloud; the great cloud of a loving mind",,普門品,pumen_pin
澍甘露法雨,shù gān lù fǎ yǔ,raining down sweet dew and Dharma rain; pouring nectar and the rain of Dharma,,普門品,pumen_pin
滅除煩惱焰,miè chú fán nǎo yàn,extinguishes the flames of affliction; quenches the fires of the defilements,,普門品,pumen_pin
念念勿生疑,niàn niàn wù shēng yí,in thought after thought let no doubt arise; never give rise to doubt,,普門品,pumen_pin
觀世音淨聖,guān shì yīn jìng shèng,Guanshiyin the Pure Sage; the pure sagely Avalokiteśvara,,普門品,pumen_pin
福聚海無量,fú jù hǎi wú liàng,an immeasurable sea of accumulated blessings; a boundless ocean of merit,,普門品,pumen_pin
慈眼視眾生,cí yǎn shì zhòng shēng,with kind eyes watching living beings; gazing on beings with compassionate eyes,,普門品,pumen_pin
圓通名自在,yuán tōng míng zì zài,named Perfect Penetration and Self-mastery; titled Complete Pervasion and Sovereignty,,普門品,pumen_pin
果修十二願,guǒ xiū shí èr yuàn,fruitfully cultivating the twelve vows; perfecting the twelve resolves,,普門品,pumen_pin
常作渡人舟,cháng zuò dù rén zhōu,ever serving as the boat that ferries people across,,普門品,pumen_pin
三千大千國土,sān qiān dà qiān guó tǔ,the three-thousand-great-thousand world system; a great chiliocosm,,普門品,pumen_pin
善男子善女人,shàn nán zǐ shàn nǚ rén,good man or good woman; sons and daughters of good family,,普門品,pumen_pin
觀音大士十二大願,guān yīn dà shì shí èr dà yuàn,Guanyin Bodhisattva's Twelve Great Vows,,普門品,pumen_pin
阿耨多羅三藐三菩提,ā nòu duō luó sān miǎo sān pú tí,Anuttara-samyak-sambodhi; unsurpassed perfect enlightenment,,普門品,pumen_pin
發阿耨多羅三藐三菩提心,fā ā nòu duō luó sān miǎo sān pú tí xīn,to bring forth the resolve for supreme enlightenment; to set the mind on anuttara-samyak-sambodhi,,普門品,pumen_pin
