Character,Pīnyīn,English,eng_tag,shared_by,ch_tag
飲,yǐn,eating and drinking,great_compassion_repentance,"廴, 引",大悲懺
食,shí,eating and drinking,great_compassion_repentance,"十, 石, 時, 識, 實",大悲懺
財,cái,property,great_compassion_repentance,才,大悲懺
通,tōng,know,great_compassion_repentance,,大悲懺
邊,biān,boundless,great_compassion_repentance,,大悲懺
捨,shě,cast aside,great_compassion_repentance,,大悲懺
茲,zī,this,great_compassion_repentance,資,大悲懺
形,xíng,body,great_compassion_repentance,行,大悲懺
途,tú,paths of rebirth,great_compassion_repentance,塗,大悲懺
備,bèi,be entangled in,great_compassion_repentance,"貝, 臂",大悲懺
嬰,yīng,be entangled in,great_compassion_repentance,"鸚, 應",大悲懺
萬,wàn,myriad,great_compassion_repentance,,大悲懺
復,fù,again; return,great_compassion_repentance,"父, 阜, 覆, 縛",大悲懺
惱,nǎo,distress; troubles,great_compassion_repentance,,大悲懺
煎,jiān,embroils,great_compassion_repentance,"肩, 間, 堅, 兼",大悲懺
縈,yíng,to entangle; to wind around,great_compassion_repentance,迎,大悲懺
逼,bī,oppressive,great_compassion_repentance,,大悲懺
迫,pò,oppressive,great_compassion_repentance,破,大悲懺
遇,yù,met,great_compassion_repentance,"玉, 聿, 欲, 御, 獄",大悲懺
乞,qǐ,seek,great_compassion_repentance,,大悲懺
畢,bì,at last,great_compassion_repentance,必,大悲懺
竟,jìng,at last,great_compassion_repentance,"淨, 敬, 靜",大悲懺
制,zhì,have control over,great_compassion_repentance,"至, 豸, 智, 致, 置",大悲懺
精,jīng,vigorous,great_compassion_repentance,經,大悲懺
進,jìn,vigorous,great_compassion_repentance,盡,大悲懺
更,gèng,other,great_compassion_repentance,,大悲懺
趣,qù,destiny,great_compassion_repentance,去,大悲懺
親,qīn,kin; draw near to,great_compassion_repentance,侵,大悲懺
承,chéng,serve,great_compassion_repentance,"城, 成, 盛, 誠, 澄, 乘",大悲懺
群,qún,multitude; flock,great_compassion_repentance,,大悲懺
品,pǐn,classes of beings,great_compassion_repentance,,大悲懺
輪,lún,in turn,great_compassion_repentance,倫,大悲懺
到,dào,to reach; to arrive,great_compassion_repentance,道,大悲懺
皈,guī,to return to; to take refuge,great_compassion_repentance,"龜, 歸",大悲懺
依,yī,to rely on; according to,great_compassion_repentance,"一, 衣",大悲懺
體,tǐ,understand,great_compassion_repentance,,大悲懺
解,jiě,understand,great_compassion_repentance,,大悲懺
統,tǒng,form together,great_compassion_repentance,,大悲懺
和,hé,harmony,great_compassion_repentance,"禾, 何, 合, 河",大悲懺
南,nán,harmony,great_compassion_repentance,"難, 男",大悲懺
迴,huí,transferring; dedicate,great_compassion_repentance,回,大悲懺
勝,shèng,profound; superior,great_compassion_repentance,"聖, 乘",大悲懺
行,hèng,practitioner; practice; act,great_compassion_repentance,,大悲懺
沈,chén,sunk,great_compassion_repentance,"臣, 辰, 塵",大悲懺
溺,nì,defilement,great_compassion_repentance,,大悲懺
往,wǎng,to go toward; to proceed,great_compassion_repentance,"网, 網",大悲懺
剎,chà,land,great_compassion_repentance,刹,大悲懺
南無,nāmó,homage to; take refuge in,great_compassion_repentance,,大悲懺
大悲,dàbēi,great compassion,great_compassion_repentance,,大悲懺
觀世音,guānshìyīn,Avalokiteshvara; Guanyin,great_compassion_repentance,,大悲懺
菩薩,púsà,Bodhisattva,great_compassion_repentance,,大悲懺
一切,yīqiè,all; everything; entirely,great_compassion_repentance,,大悲懺
恭敬,gōngjìng,reverently; with deep respect,great_compassion_repentance,,大悲懺
一心,yīxīn,with whole heart; single-mindedly,great_compassion_repentance,,大悲懺
頂禮,dǐnglǐ,prostrate; bow down with the head,great_compassion_repentance,,大悲懺
十方,shífāng,ten directions,great_compassion_repentance,,大悲懺
常住,chángzhù,ever-present; eternally abiding,great_compassion_repentance,,大悲懺
三寶,sānbǎo,Triple Gem; Three Jewels,great_compassion_repentance,,大悲懺
胡跪,húguì,kneeling with the right knee touching the ground,great_compassion_repentance,,大悲懺
嚴持,yánchí,strictly and majestically hold,great_compassion_repentance,,大悲懺
香華,xiānghuā,incense and flowers,great_compassion_repentance,,大悲懺
如法,rúfǎ,in accordance with the Dharma,great_compassion_repentance,,大悲懺
供養,gòngyǎng,make offerings; support,great_compassion_repentance,,大悲懺
同聲,tóngshēng,in unison; with one voice,great_compassion_repentance,,大悲懺
願此,yuàncǐ,may this,great_compassion_repentance,,大悲懺
香華雲,xiānghuāyún,cloud of incense and flowers,great_compassion_repentance,,大悲懺
遍滿,biànmǎn,pervade; fill everywhere,great_compassion_repentance,,大悲懺
十方界,shífāngjiè,worlds of the ten directions,great_compassion_repentance,,大悲懺
供養一切,gòngyǎng yīqiè,making offerings to all,great_compassion_repentance,,大悲懺
諸佛,zhūfó,all Buddhas,great_compassion_repentance,,大悲懺
妙法,miàofǎ,Wonderful Dharma; Sublime Dharma,great_compassion_repentance,,大悲懺
菩薩眾,púsàzhòng,assembly of Bodhisattvas,great_compassion_repentance,,大悲懺
聲聞,shēngwén,Sravakas; sound-hearers,great_compassion_repentance,,大悲懺
緣覺,yuánjué,Pratyekabuddhas; solitary realizers,great_compassion_repentance,,大悲懺
眾僧,sēngzhòng,Sangha assembly,great_compassion_repentance,,大悲懺
作佛事,zuò fóshì,perform Buddha-work,great_compassion_repentance,,大悲懺
普薰,pǔxūn,universally perfume; scent everywhere,great_compassion_repentance,,大悲懺
眾生,zhòngshēng,sentient beings; living beings,great_compassion_repentance,,大悲懺
皆發,jiēfā,all bring forth; all generate,great_compassion_repentance,,大悲懺
菩提心,pútíxīn,Bodhicitta; resolve for enlightenment,great_compassion_repentance,,大悲懺
同入,tóngrù,together enter,great_compassion_repentance,,大悲懺
無生,wúshēng,no-birth; unproduced,great_compassion_repentance,,大悲懺
證佛智,zhèng fózhì,certify to the Buddha's wisdom,great_compassion_repentance,,大悲懺
過去,guòqù,past; bygone,great_compassion_repentance,,大悲懺
正法明,zhèngfǎmíng,True Dharma Clarity (Guanyin's ancient Buddha title),great_compassion_repentance,,大悲懺
如來,rúlái,Tathagata; Thus Come One,great_compassion_repentance,,大悲懺
現前,xiànqián,manifest before us; present,great_compassion_repentance,,大悲懺
功德,gōngdé,merit and virtue,great_compassion_repentance,,大悲懺
大慈,dàcí,great kindness,great_compassion_repentance,,大悲懺
千眼,qiānyǎn,thousand eyes,great_compassion_repentance,,大悲懺
照見,zhàojiàn,illumine and behold,great_compassion_repentance,,大悲懺
千手,qiānshǒu,thousand hands,great_compassion_repentance,,大悲懺
護持,hùchí,protect and sustain,great_compassion_repentance,,大悲懺
廣大,guǎngdà,vast and extensive,great_compassion_repentance,,大悲懺
圓滿,yuánmǎn,perfectly fulfilled; complete,great_compassion_repentance,,大悲懺
無礙,wúài,unobstructed; unhindered,great_compassion_repentance,,大悲懺
神咒,shénzhòu,spiritual mantra; divine dharani,great_compassion_repentance,,大悲懺
永離,yǒnglǐ,forever leave; abandon eternally,great_compassion_repentance,,大悲懺
惡趣,èqù,evil realms; miserable destinies,great_compassion_repentance,,大悲懺
得生,déshēng,attain rebirth in,great_compassion_repentance,,大悲懺
佛前,fóqián,before the Buddha,great_compassion_repentance,,大悲懺
無間,wújiàn,Avici (hell); uninterrupted,great_compassion_repentance,,大悲懺
重罪,zhòngzuì,grave offenses; heavy karma,great_compassion_repentance,,大悲懺
纏身,chánshēn,embroil the body; bind oneself,great_compassion_repentance,,大悲懺
疾苦,jíkǔ,illness and suffering,great_compassion_repentance,,大悲懺
莫能,mònéng,none can; unable to,great_compassion_repentance,,大悲懺
救濟,jiùjì,rescue and relieve,great_compassion_repentance,,大悲懺
悉皆,xījiē,all completely; entirely,great_compassion_repentance,,大悲懺
消除,xiāochú,eradicate; eliminate,great_compassion_repentance,,大悲懺
智慧,zhìhuì,wisdom; insight,great_compassion_repentance,,大悲懺
辯才,biàncái,eloquence,great_compassion_repentance,,大悲懺
一切求,yīqiè qiú,all that is sought,great_compassion_repentance,,大悲懺
滿足,mǎnzú,fully satisfied; fulfilled,great_compassion_repentance,,大悲懺
決定,juédìng,definitely; without a doubt,great_compassion_repentance,,大悲懺
無疑,wúyí,no doubt,great_compassion_repentance,,大悲懺
大乘,dàchéng,Mahayana; Great Vehicle,great_compassion_repentance,,大悲懺
威神力,wēishénlì,awesome spiritual power,great_compassion_repentance,,大悲懺
歎莫窮,tàn mò qióng,praise can never exhaust,great_compassion_repentance,,大悲懺
歸命,guīmìng,refuge; dedicate one's life,great_compassion_repentance,,大悲懺
本尊,běnzūn,principal honored one; primary deity,great_compassion_repentance,,大悲懺
法性,fǎxìng,Dharma-nature,great_compassion_repentance,,大悲懺
空寂,kōngjì,empty and still,great_compassion_repentance,,大悲懺
感應,gǎnyìng,stimulus and response; spiritual resonance,great_compassion_repentance,,大悲懺
道場,dàochǎng,bodhimanda; way-place,great_compassion_repentance,,大悲懺
如帝珠,rú dìzhū,like Indra's net of pearls,great_compassion_repentance,,大悲懺
觀世音菩薩,guānshìyīn púsà,Avalokiteshvara Bodhisattva,great_compassion_repentance,,大悲懺
頭面接足,tóumiàn jiēzú,bowing the head to touch the feet of the honored one,great_compassion_repentance,,大悲懺
西方,xīfāng,western direction,great_compassion_repentance,,大悲懺
極樂世界,jílè shìjiè,Land of Ultimate Bliss; Sukhavati,great_compassion_repentance,,大悲懺
阿彌陀佛,ēmítuófó,Amitabha Buddha,great_compassion_repentance,,大悲懺
千億,qiānyì,hundreds of billions; countless,great_compassion_repentance,,大悲懺
廣大如來,guǎngdà rúlái,Vast Thus Come One,great_compassion_repentance,,大悲懺
神王,shénwáng,spiritual king,great_compassion_repentance,,大悲懺
千光王,qiānguāng wáng,King of Thousand Lights,great_compassion_repentance,,大悲懺
靜住如來,jìngzhù rúlái,Still Abiding Thus Come One,great_compassion_repentance,,大悲懺
廣大圓滿無礙大悲心大陀羅尼,guǎngdà yuánmǎn wúài dàbēixīn dàtuóluóní,Vast Perfect Unobstructed Great Compassion Mind Grand Dharani,great_compassion_repentance,,大悲懺
諸佛如來,zhūfó rúlái,all Buddha Tathagatas,great_compassion_repentance,,大悲懺
一切聖賢,yīqiè shèngxián,all sages and worthies,great_compassion_repentance,,大悲懺
陀羅尼,tuóluóní,Dharani; mantra,great_compassion_repentance,,大悲懺
章句,zhāngjù,verses and phrases,great_compassion_repentance,,大悲懺
三業,sānyè,three karmas (body,great_compassion_repentance,,大悲懺
慈悲,cíbēi,compassion; mercy,great_compassion_repentance,,大悲懺
令我,lìngwǒ,cause me to,great_compassion_repentance,,大悲懺
罪障,zuìzhàng,karmic obstacles; offenses,great_compassion_repentance,,大悲懺
消滅,xiāomiè,eliminate; extinguish completely,great_compassion_repentance,,大悲懺
大勢至,dàshìzhì,Mahasthamaprapta (Bodhisattva),great_compassion_repentance,,大悲懺
總持王,zǒngchíwáng,Dharani King (Bodhisattva),great_compassion_repentance,,大悲懺
日光,rìguāng,Suryaprabha; Sunlight (Bodhisattva),great_compassion_repentance,,大悲懺
月光,yuèguāng,Candraprabha; Moonlight (Bodhisattva),great_compassion_repentance,,大悲懺
寶王,bǎowáng,Jeweled King (Bodhisattva),great_compassion_repentance,,大悲懺
藥王,yàowáng,Bhaisajyaraja; Medicine King (Bodhisattva),great_compassion_repentance,,大悲懺
藥上,yàoshàng,Bhaisajyasamudgata; Supreme Medicine (Bodhisattva),great_compassion_repentance,,大悲懺
華嚴,huāyán,Avatamsaka; Flower Adornment (Bodhisattva),great_compassion_repentance,,大悲懺
大藏,dàzàng,Great Treasury (Bodhisattva),great_compassion_repentance,,大悲懺
寶藏,bǎozàng,Jeweled Treasury (Bodhisattva),great_compassion_repentance,,大悲懺
德藏,dézàng,Virtue Treasury (Bodhisattva),great_compassion_repentance,,大悲懺
金剛藏,jīngāngzàng,Vajragarbha; Vajra Treasury (Bodhisattva),great_compassion_repentance,,大悲懺
虛空藏,xūkōngzàng,Akasagarbha; Space Treasury (Bodhisattva),great_compassion_repentance,,大悲懺
彌勒,mílè,Maitreya (Bodhisattva),great_compassion_repentance,,大悲懺
文殊師利,wénshūshīlì,Manjushri (Bodhisattva),great_compassion_repentance,,大悲懺
普賢,pǔxián,Samantabhadra (Bodhisattva),great_compassion_repentance,,大悲懺
十方一切,shífāng yīqiè,all in the ten directions,great_compassion_repentance,,大悲懺
比丘,bǐqiū,Bhikshu; monk,great_compassion_repentance,,大悲懺
比丘尼,bǐqiūní,Bhikshuni; nun,great_compassion_repentance,,大悲懺
優婆塞,yōupósāi,Upasaka; lay gentleman,great_compassion_repentance,,大悲懺
優婆夷,yōupóyí,Upasika; lay lady,great_compassion_repentance,,大悲懺
天龍八部,tiānlóng bābù,gods,great_compassion_repentance,,大悲懺
童男,tóngnán,young boys; pure youths,great_compassion_repentance,,大悲懺
童女,tóngnǚ,young girls; pure maidens,great_compassion_repentance,,大悲懺
善神,shànshén,benevolent deities,great_compassion_repentance,,大悲懺
龍王,lóngwáng,dragon kings,great_compassion_repentance,,大悲懺
神女,shénnǚ,goddesses,great_compassion_repentance,,大悲懺
江海,jiānghǎi,rivers and oceans,great_compassion_repentance,,大悲懺
泉源,quányuán,fountains and springs,great_compassion_repentance,,大悲懺
河沼,hézhǎo,streams and pools,great_compassion_repentance,,大悲懺
藥草,yàocǎo,medicinal herbs,great_compassion_repentance,,大悲懺
樹林,shùlín,woods and forests,great_compassion_repentance,,大悲懺
舍宅,shèzhái,houses and dwellings,great_compassion_repentance,,大悲懺
水神,shuǐshén,water deities,great_compassion_repentance,,大悲懺
火神,huǒshén,fire deities,great_compassion_repentance,,大悲懺
風神,fēngshén,wind deities,great_compassion_repentance,,大悲懺
土神,tǔshén,earth deities,great_compassion_repentance,,大悲懺
山神,shānshén,mountain deities,great_compassion_repentance,,大悲懺
宮殿,gōngdiàn,palaces and halls,great_compassion_repentance,,大悲懺
羅剎,luóchà,Rakshasa (demons),great_compassion_repentance,,大悲懺
眷屬,juànshǔ,retinue; family,great_compassion_repentance,,大悲懺
受持,shòuchí,receive and hold,great_compassion_repentance,,大悲懺
大悲咒,dàbēizhòu,Great Compassion Mantra,great_compassion_repentance,,大悲懺
若有,ruòyǒu,if there are,great_compassion_repentance,,大悲懺
誦持,sòngchí,recite and maintain,great_compassion_repentance,,大悲懺
若欲,ruòyù,if one desires to,great_compassion_repentance,,大悲懺
發願,fāyuàn,make a vow; generate a vow,great_compassion_repentance,,大悲懺
先當,xiāndāng,should first,great_compassion_repentance,,大悲懺
從我,cóngwǒ,follow me,great_compassion_repentance,,大悲懺
善方便,shàn fāngbiàn,good expedient means,great_compassion_repentance,,大悲懺
速知,sùzhī,quickly know,great_compassion_repentance,,大悲懺
智慧眼,zhìhuìyǎn,eye of wisdom,great_compassion_repentance,,大悲懺
廣度,guǎngdù,widely rescue; extensively cross over,great_compassion_repentance,,大悲懺
得度,dédù,attain liberation; be rescued,great_compassion_repentance,,大悲懺
善法,shànfǎ,wholesome dharmas; good teachings,great_compassion_repentance,,大悲懺
般若船,bōrěchuán,Prajna boat,great_compassion_repentance,,大悲懺
早越,zǎoyuè,soon cross over,great_compassion_repentance,,大悲懺
苦海,kǔhǎi,sea of suffering,great_compassion_repentance,,大悲懺
戒定慧,jiè dìng huì,Precepts,great_compassion_repentance,,大悲懺
無為舍,wúwéishè,unconditioned dwelling,great_compassion_repentance,,大悲懺
同法性,tóng fǎxìng,identical with the Dharma-nature,great_compassion_repentance,,大悲懺
法性身,fǎxìngshēn,Dharma-nature body,great_compassion_repentance,,大悲懺
刀山,dāoshān,mountain of knives (hell),great_compassion_repentance,,大悲懺
自摧折,zì cuīzhé,shatters of itself,great_compassion_repentance,,大悲懺
火湯,huǒtāng,boiling oil/water (hell),great_compassion_repentance,,大悲懺
地獄,dìyù,hell realm,great_compassion_repentance,,大悲懺
自消滅,zì xiāomiè,extinguishes of itself,great_compassion_repentance,,大悲懺
餓鬼,èguǐ,hungry ghosts,great_compassion_repentance,,大悲懺
自飽滿,zì bǎomǎn,become full of themselves,great_compassion_repentance,,大悲懺
修羅,xiūluó,Asuras,great_compassion_repentance,,大悲懺
惡心,èxīn,evil minds,great_compassion_repentance,,大悲懺
自調伏,zì tiáofú,tame themselves,great_compassion_repentance,,大悲懺
畜生,chùshēng,animal realm,great_compassion_repentance,,大悲懺
大智慧,dà zhìhuì,great wisdom,great_compassion_repentance,,大悲懺
和南,hénán,Vandana; prostration; respectful greeting,great_compassion_repentance,,大悲懺
聖眾,shèngzhòng,assembly of sages,great_compassion_repentance,,大悲懺
白言,báiyán,said to; addressed,great_compassion_repentance,,大悲懺
若諸,ruòzhū,if all,great_compassion_repentance,,大悲懺
誦持大悲神咒,sòngchí dàbēi shénzhòu,recite and maintain the Great Compassion Spiritual Mantra,great_compassion_repentance,,大悲懺
墮三惡趣,duò sān èqù,fall into the three evil realms,great_compassion_repentance,,大悲懺
不生佛國,bùshēng fóguó,not reborn in a Buddhaland,great_compassion_repentance,,大悲懺
無量三昧,wúliàng sānmèi,boundless samadhis,great_compassion_repentance,,大悲懺
辯才無礙,biàncái wúài,unobstructed eloquence,great_compassion_repentance,,大悲懺
現生,xiànshēng,in the present life,great_compassion_repentance,,大悲懺
所求,suǒqiú,whatever is sought,great_compassion_repentance,,大悲懺
不果遂,bù guǒsuì,not accomplished; unfulfilled,great_compassion_repentance,,大悲懺
不得為,bùdé wéi,cannot be considered,great_compassion_repentance,,大悲懺
大悲心陀羅尼,dàbēixīn tuóluóní,Great Compassion Mind Dharani,great_compassion_repentance,,大悲懺
不善,bùshàn,unwholesome; not good,great_compassion_repentance,,大悲懺
生疑,shēngyí,give rise to doubt,great_compassion_repentance,,大悲懺
乃至,nǎizhì,even up to; even,great_compassion_repentance,,大悲懺
合掌,hézhǎng,join the palms together,great_compassion_repentance,,大悲懺
正體,zhèngtǐ,upright posture; proper form,great_compassion_repentance,,大悲懺
開顏含笑,kāiyán hánxiào,broadly smile,great_compassion_repentance,,大悲懺
即說,jíshuō,immediately spoke,great_compassion_repentance,,大悲懺
咒曰,zhòuyuē,the mantra says; dharani as follows,great_compassion_repentance,,大悲懺
說此咒畢,shuō cǐ zhòu bì,finished speaking this mantra,great_compassion_repentance,,大悲懺
大地六變震動,dàdì liùbiàn zhèndòng,the great earth shook in six ways,great_compassion_repentance,,大悲懺
天雨寶華,tiānyǔ bǎohuā,heavens rained down precious flowers,great_compassion_repentance,,大悲懺
繽紛而下,bīnfēn ér xià,fell down in colorful profusion,great_compassion_repentance,,大悲懺
十方諸佛,shífāng zhūfó,all Buddhas of the ten directions,great_compassion_repentance,,大悲懺
悉皆歡喜,xījiē huānxǐ,were all delighted,great_compassion_repentance,,大悲懺
天魔外道,tiānmó wàidào,heavenly demons and externalists,great_compassion_repentance,,大悲懺
恐怖毛豎,kǒngbù máoshù,terrified so that their hair stood on end,great_compassion_repentance,,大悲懺
一切大會,yīqiè dàhuì,the entire grand assembly,great_compassion_repentance,,大悲懺
皆得果證,jiēdé guǒzhèng,all attained the fruits of certification,great_compassion_repentance,,大悲懺
乃至十地,nǎizhì shídì,even up to the Tenth Ground,great_compassion_repentance,,大悲懺
無量眾生,wúliàng zhòngshēng,countless sentient beings,great_compassion_repentance,,大悲懺
發菩提心,fā pútíxīn,generated the Bodhi-mind,great_compassion_repentance,,大悲懺
修行,xiūxíng,cultivate practice; practitioner,great_compassion_repentance,,大悲懺
造罪,zàozuì,commit offenses; create negative karma,great_compassion_repentance,,大悲懺
相惱,xiāngnǎo,distress each other,great_compassion_repentance,,大悲懺
不經,bùjīng,without undergoing,great_compassion_repentance,,大悲懺
懺悔,chànhuǐ,repent and reform,great_compassion_repentance,,大悲懺
無始,wúshǐ,beginningless,great_compassion_repentance,,大悲懺
六根,liùgēn,six sense faculties,great_compassion_repentance,,大悲懺
出要,chūyào,essential path of escape,great_compassion_repentance,,大悲懺
順理,shùnlǐ,comply with principle,great_compassion_repentance,,大悲懺
猶與,yóuyǔ,still with,great_compassion_repentance,,大悲懺
加護,jiāhù,bestow protection upon,great_compassion_repentance,,大悲懺
法界,fǎjiè,Dharma-realm,great_compassion_repentance,,大悲懺
三有,sānyǒu,three realms of existence,great_compassion_repentance,,大悲懺
斷除,duànchú,cut off and eliminate,great_compassion_repentance,,大悲懺
復來,fùlái,return again,great_compassion_repentance,,大悲懺
內計,nèijì,internally scheme,great_compassion_repentance,,大悲懺
我人,wǒrén,self and others,great_compassion_repentance,,大悲懺
惡友,èyǒu,bad friends; unwholesome companions,great_compassion_repentance,,大悲懺
隨他,suítā,follow others,great_compassion_repentance,,大悲懺
毫善,háoshàn,a hair's breadth of good,great_compassion_repentance,,大悲懺
布在,bùzài,spread across,great_compassion_repentance,,大悲懺
晝夜,zhòuyè,day and night,great_compassion_repentance,,大悲懺
相續,xiāngxù,continuously; in succession,great_compassion_repentance,,大悲懺
覆諱,fùhuì,cover up and conceal,great_compassion_repentance,,大悲懺
過失,guòshī,faults; mistakes,great_compassion_repentance,,大悲懺
畏慚,wèicán,fear and shame,great_compassion_repentance,,大悲懺
撥無,bōwú,deny the existence of,great_compassion_repentance,,大悲懺
因果,yīnguǒ,cause and effect; karma,great_compassion_repentance,,大悲懺
深信,shēnxìn,deeply believe,great_compassion_repentance,,大悲懺
怖畏,bùwèi,fear; dread,great_compassion_repentance,,大悲懺
相勤,xiāngqín,encourage each other diligently,great_compassion_repentance,,大悲懺
翻昔,fānxī,turn over the past; reform,great_compassion_repentance,,大悲懺
凡聖,fánshèng,ordinary people and sages,great_compassion_repentance,,大悲懺
福慧,fúhuì,blessings and wisdom,great_compassion_repentance,,大悲懺
拔我,báwǒ,pull me out,great_compassion_repentance,,大悲懺
生死,shēngsǐ,birth and death; samsara,great_compassion_repentance,,大悲懺
置我,zhìwǒ,place me; bring me to,great_compassion_repentance,,大悲懺
涅槃岸,nièpánàn,shore of Nirvana,great_compassion_repentance,,大悲懺
攝受,shèshòu,gather in and receive,great_compassion_repentance,,大悲懺
弟子,dìzǐ,disciple,great_compassion_repentance,,大悲懺
無明,wúmíng,ignorance,great_compassion_repentance,,大悲懺
所覆,suǒfù,covered by,great_compassion_repentance,,大悲懺
昏迷,hūnmí,senseless; dazed and confused,great_compassion_repentance,,大悲懺
舉心動念,jǔxīn dòngniàn,raising thoughts and moving reflections,great_compassion_repentance,,大悲懺
平等,píngděng,equality; sameness,great_compassion_repentance,,大悲懺
自他想,zìtā xiǎng,notions of self and other,great_compassion_repentance,,大悲懺
五逆,wǔnì,five rebellious offenses (heinous crimes),great_compassion_repentance,,大悲懺
謗法,bàngfǎ,slander the Dharma,great_compassion_repentance,,大悲懺
破戒,pòjiè,break the precepts,great_compassion_repentance,,大悲懺
破齋,pòzhāi,break the pure eating rules,great_compassion_repentance,,大悲懺
毀壞,huǐhuài,destroy and ruin,great_compassion_repentance,,大悲懺
佛塔寺,fótǎsì,Buddha stupas and temples,great_compassion_repentance,,大悲懺
常住物,chángzhùwù,property of the eternally abiding (Sangha property),great_compassion_repentance,,大悲懺
污淨行,wū jìngxíng,defile pure conduct,great_compassion_repentance,,大悲懺
侵損,qīnsǔn,damage and encroach upon,great_compassion_repentance,,大悲懺
常住財物,chángzhù cáiwù,wealth and property of the eternally abiding,great_compassion_repentance,,大悲懺
無量無邊,wúliàng wúbiān,boundless and limitless,great_compassion_repentance,,大悲懺
捨茲形,shě zī xíng,cast aside this body,great_compassion_repentance,,大悲懺
三途,sāntú,three miserable paths (hell,great_compassion_repentance,,大悲懺
備嬰,bèiyīng,fully endure; be entangled in,great_compassion_repentance,,大悲懺
萬苦,wànkǔ,myriad sufferings,great_compassion_repentance,,大悲懺
現世,xiànshì,present life; current incarnation,great_compassion_repentance,,大悲懺
煎迫,jiānpò,tormented and oppressed,great_compassion_repentance,,大悲懺
大悲真言,dàbēi zhēnyán,Great Compassion True Words (Mantra),great_compassion_repentance,,大悲懺
畢竟,bìjìng,ultimately; after all,great_compassion_repentance,,大悲懺
內外,nèiwài,inside and outside; internal and external,great_compassion_repentance,,大悲懺
因緣,yīnyuán,causes and conditions,great_compassion_repentance,,大悲懺
淨盡,jìngjìn,completely purified; thoroughly extinguished,great_compassion_repentance,,大悲懺
自他願行,zìtā yuànxíng,the vows and practices of self and others,great_compassion_repentance,,大悲懺
皆圓滿,jiē yuánmǎn,all perfectly fulfilled,great_compassion_repentance,,大悲懺
開本知見,kāi běn zhījiàn,open original knowledge and vision,great_compassion_repentance,,大悲懺
制諸魔外,zhì zhū mó wài,control all demons and externalists,great_compassion_repentance,,大悲懺
三乘,sānchéng,Three Vehicles,great_compassion_repentance,,大悲懺
精進,jīngjìn,vigor; diligent progress,great_compassion_repentance,,大悲懺
因更,yīngèng,because of this,great_compassion_repentance,,大悲懺
往生,wǎngshēng,be reborn in,great_compassion_repentance,,大悲懺
華開見佛,huākāi jiànfó,flowers open to see the Buddha,great_compassion_repentance,,大悲懺
法輪,fǎlún,Wheel of Dharma,great_compassion_repentance,,大悲懺
自歸依,zì guīyī,take refuge in oneself/take refuge,great_compassion_repentance,,大悲懺
體解,tǐjiě,deeply understand,great_compassion_repentance,,大悲懺
無上道,wúshàngdào,Supreme Way; Unsurpassed Path,great_compassion_repentance,,大悲懺
深入,shēnrù,deeply enter,great_compassion_repentance,,大悲懺
經藏,jīngzàng,Sutra Pitaka; treasury of scriptures,great_compassion_repentance,,大悲懺
智慧如海,zhìhuì rú hǎi,wisdom as vast as the ocean,great_compassion_repentance,,大悲懺
統理,tǒnglǐ,guide and lead,great_compassion_repentance,,大悲懺
大眾,dàzhòng,the great assembly,great_compassion_repentance,,大悲懺
一切無礙,yīqiè wúài,completely unobstructed in all things,great_compassion_repentance,,大悲懺
迴向,huíxiàng,transfer of merit; dedication,great_compassion_repentance,,大悲懺
迴向文,huíxiàngwén,merit transfer liturgy; dedication text,great_compassion_repentance,,大悲懺
殊勝,shūshèng,extraordinarily sublime; supreme,great_compassion_repentance,,大悲懺
普願,pǔyuàn,universally vow; universal wish,great_compassion_repentance,,大悲懺
諸眾生,zhū zhòngshēng,all sentient beings,great_compassion_repentance,,大悲懺
速往,sùwǎng,quickly go to; speed to,great_compassion_repentance,,大悲懺
無量光佛剎,wúliàngguāng fóchà,Buddhaland of Infinite Light (Amitabha's realm),great_compassion_repentance,,大悲懺
十方三世,shífāng sānshì,ten directions and three periods of time,great_compassion_repentance,,大悲懺
一切諸佛,yīqiè zhūfó,all Buddhas everywhere,great_compassion_repentance,,大悲懺
諸尊菩薩,zhūzūn púsà,all honored Bodhisattvas,great_compassion_repentance,,大悲懺
摩訶薩,móhēsà,Mahasattva; great being,great_compassion_repentance,,大悲懺
摩訶般若波羅蜜,móhē bōrě bōluómì,Maha Prajna Paramita; Great Perfection of Wisdom,great_compassion_repentance,,大悲懺
大悲心,dàbēixīn,Great Compassion Mind,great_compassion_repentance,,大悲懺
日宮天子,rìgōng tiānzǐ,Sun Palace Son of Heaven (Solar Deity),great_compassion_repentance,,大悲懺
月宮天子,yuègōng tiānzǐ,Moon Palace Son of Heaven (Lunar Deity),great_compassion_repentance,,大悲懺
三寶事,sānbǎoshì,matters pertaining to the Triple Gem,great_compassion_repentance,,大悲懺
常住僧,chángzhù sēng,monastics of the eternally abiding Sangha,great_compassion_repentance,,大悲懺
一切罪,yīqièzuì,all offenses; every single transgression,great_compassion_repentance,,大悲懺
求見佛,qiú jiàn fó,seek to see the Buddha,great_compassion_repentance,,大悲懺
求生淨土,qiúshēng jìngtǔ,seek rebirth in the Pure Land,great_compassion_repentance,,大悲懺
發大願,fā dàyuàn,make great vows; generate supreme vows,great_compassion_repentance,,大悲懺
廣度眾生,guǎngdù zhòngshēng,extensively save and liberate sentient beings,great_compassion_repentance,,大悲懺
速般涅槃,sù bān nièpán,quickly enter Parinirvana,great_compassion_repentance,,大悲懺
