pali,lemma,english_primary,english_secondary,sanskrit,sanskrit_root,root_meaning,pali_conf,skt_conf,eng_tag,source_line
Ujupaṭipanno,ujupaṭipanna,practised directly,one who practises uprightly,ṛjupratipanna,√pad,to step / go (with prati- 'toward'),10,9,Morning Chanting,Ujupaṭipanno
Ujupaṭipanno bhagavato sāvakasaṅgho,—,Who have practised directly,second quality of the Saṅgha,—,—,—,10,—,Morning Chanting,Ujupaṭipanno
ñāya,ñāya,method / right way,logical principle; the way,nyāya,√nī,to lead,10,8,Morning Chanting,Ñāyapaṭipanno
Ñāyapaṭipanno,ñāyapaṭipanna,practised insightfully,one who practises the right method,nyāyapratipanna,√nī,to lead (i.e. 'method / right way'),10,8,Morning Chanting,Ñāyapaṭipanno
Ñāyapaṭipanno bhagavato sāvakasaṅgho,—,Who have practised insightfully,third quality of the Saṅgha,—,—,—,10,—,Morning Chanting,Ñāyapaṭipanno
sāmīci,sāmīcī,propriety,correctness; properness,sāmīcī,—,(noun 'right conduct'),10,7,Morning Chanting,Sāmīcipaṭipanno
Sāmīcipaṭipanno,sāmīcipaṭipanna,practised with integrity,one who practises properly,sāmīcīpratipanna,√pad,to step / go (with prati-),10,8,Morning Chanting,Sāmīcipaṭipanno
Sāmīcipaṭipanno bhagavato sāvakasaṅgho,—,Those who practise with integrity,fourth quality of the Saṅgha,—,—,—,10,—,Morning Chanting,Sāmīcipaṭipanno
Yadidaṁ,yadidaṁ,that is,namely; to wit,yadidam,—,(ya- 'which' + idam 'this'),10,10,Morning Chanting,Yadidaṁ cattāri
cattāri,catu,four,four (n. nom.),catvāri,—,(numeral 'four'),10,10,Morning Chanting,Yadidaṁ cattāri
yuga,yuga,pair / yoke,couple,yuga,√yuj,to yoke / join,10,10,Morning Chanting,Yadidaṁ cattāri
aṭṭha,aṭṭha,eight,eight,aṣṭa,—,(numeral 'eight'),10,10,Morning Chanting,Yadidaṁ cattāri
puggalā,puggala,individuals,persons,pudgala,—,(noun 'individual / person'),10,9,Morning Chanting,Yadidaṁ cattāri
purisayugāni,purisayuga,pairs of persons,person-pairs (n. nom. pl.),puruṣayugāni,√yuj,to yoke / join (i.e. 'pair'),10,9,Morning Chanting,Yadidaṁ cattāri
purisapuggalā,purisapuggala,persons / individuals,human individuals (m. nom. pl.),puruṣapudgalāḥ,—,(compound — see components),10,9,Morning Chanting,Yadidaṁ cattāri
Yadidaṁ cattāri purisayugāni aṭṭha purisapuggalā,—,That is the four pairs the eight kinds of noble beings,classical definition of the noble Saṅgha,—,—,—,10,—,Morning Chanting,Yadidaṁ cattāri
Esa,eta,this / these,this one (m. nom. sg.),eṣa,—,(demonstrative 'this'),10,10,Morning Chanting,Esa bhagavato
Esa bhagavato sāvakasaṅgho,—,These are the Blessed One's disciples,summary line for the Saṅgha,—,—,—,10,—,Morning Chanting,Esa bhagavato
Āhuneyyo,āhuneyya,worthy of gifts,worthy of offerings brought from afar,āhavanīya,√hu,to offer / pour (with ā-),10,8,Morning Chanting,Āhuneyyo
Pāhuneyyo,pāhuneyya,worthy of hospitality,worthy of guest-offerings,prāhavanīya,√hu,to offer / pour (with pra- + ā-),10,7,Morning Chanting,Pāhuneyyo
Dakkhiṇeyyo,dakkhiṇeyya,worthy of offerings,worthy of dakkhiṇā (donations to the worthy),dakṣiṇīya,—,(adj. from dakkhiṇā 'gift / donation'),10,9,Morning Chanting,Dakkhiṇeyyo
dakkhiṇā,dakkhiṇā,offering / donation,gift to a worthy recipient,dakṣiṇā,—,(noun 'donation / right'),10,10,Morning Chanting,Dakkhiṇeyyo
Añjali,añjali,palms-together gesture,reverential salutation,añjali,—,(noun 'cupped hands / salute'),10,10,Morning Chanting,Añjali-karaṇīyo
karaṇīyo,karaṇīya,to be done / worthy of,fit to be made,karaṇīya,√kṛ,to do / make,10,10,Morning Chanting,Añjali-karaṇīyo
Añjali-karaṇīyo,añjalikaraṇīya,worthy of respect,one to whom añjali should be made,añjalikaraṇīya,—,(compound — see components),10,9,Morning Chanting,Añjali-karaṇīyo
Anuttaraṁ,anuttara,unsurpassed (acc.),incomparable; supreme,anuttaram,—,(an- 'not' + uttara 'higher'),10,10,Morning Chanting,Anuttaraṁ puññakkhettaṁ
puñña,puñña,merit,goodness; virtuous deed,puṇya,—,(noun 'merit / good fortune'),10,10,Morning Chanting,Anuttaraṁ puññakkhettaṁ
khetta,khetta,field,plot of land,kṣetra,√kṣi,to dwell / possess,10,8,Morning Chanting,Anuttaraṁ puññakkhettaṁ
lokassa,loka,of the world,for the world (gen.),lokasya,√lok,to see / behold,10,8,Morning Chanting,Anuttaraṁ puññakkhettaṁ
puññakkhettaṁ,puññakkhetta,field of merit,merit-field,puṇyakṣetra,—,(compound — see components),10,10,Morning Chanting,Anuttaraṁ puññakkhettaṁ
Anuttaraṁ puññakkhettaṁ lokassa,—,They give occasion for incomparable goodness to arise in the world,'incomparable field of merit' formula,—,—,—,10,—,Morning Chanting,Anuttaraṁ puññakkhettaṁ
Tam-ahaṁ saṅghaṁ abhipūjayāmi tam-ahaṁ saṅghaṁ sirasā namāmi,—,I chant my praise to this Saṅgha I bow my head to this Saṅgha,closing bow-and-praise to the Saṅgha,—,—,—,10,—,Morning Chanting,Tam-ahaṁ saṅghaṁ
