chinese,pinyin,english_def,ch_tag,eng_tag
聖眾,shèng zhòng,assembly of holy ones; sagely host,阿彌陀經,AmitabhaSutra
顛倒,diān dǎo,inverted; upside-down (mental confusion at death),阿彌陀經,AmitabhaSutra
往生,wǎng shēng,to be reborn (in the Pure Land),阿彌陀經,AmitabhaSutra
讚歎,zàn tàn,to praise (with admiration),阿彌陀經,AmitabhaSutra
東方,dōng fāng,the East; eastern direction,阿彌陀經,AmitabhaSutra
須彌,xū mí,"Sumeru (Mount Sumeru, axis-mountain)",阿彌陀經,AmitabhaSutra
諸佛,zhū fó,all the Buddhas,阿彌陀經,AmitabhaSutra
誠實,chéng shí,sincere and actual; truthful,阿彌陀經,AmitabhaSutra
稱讚,chēng zàn,to praise; extol,阿彌陀經,AmitabhaSutra
一切,yī qiè,all; every,阿彌陀經,AmitabhaSutra
護念,hù niàn,to be protective and mindful of; guard with mindfulness,阿彌陀經,AmitabhaSutra
南方,nán fāng,the South; southern direction,阿彌陀經,AmitabhaSutra
名聞,míng wén,well-known; famous (lit. name-heard),阿彌陀經,AmitabhaSutra
焰肩,yàn jiān,Blazing Shoulders (Buddha epithet),阿彌陀經,AmitabhaSutra
北方,běi fāng,the North; northern direction,阿彌陀經,AmitabhaSutra
最勝,zuì shèng,most victorious; supreme,阿彌陀經,AmitabhaSutra
難沮,nán jǔ,Hard to Injure (Buddha epithet),阿彌陀經,AmitabhaSutra
網明,wǎng míng,Net Brightness (Buddha epithet),阿彌陀經,AmitabhaSutra
下方,xià fāng,the World Below; below direction,阿彌陀經,AmitabhaSutra
師子,shī zǐ,lion (also written 獅子),阿彌陀經,AmitabhaSutra
達摩,dá mó,Dharma (Skt. transliteration); name of a Buddha here,阿彌陀經,AmitabhaSutra
法幢,fǎ chuáng,Dharma banner/curtain,阿彌陀經,AmitabhaSutra
持法,chí fǎ,Dharma Maintaining; upholding the Dharma,阿彌陀經,AmitabhaSutra
上方,shàng fāng,the World Above; above direction,阿彌陀經,AmitabhaSutra
梵音,fàn yīn,Pure Sound; Brahma Sound,阿彌陀經,AmitabhaSutra
宿王,sù wáng,King of Stars (Buddha epithet),阿彌陀經,AmitabhaSutra
香上,xiāng shàng,Superior Fragrance (Buddha epithet),阿彌陀經,AmitabhaSutra
香光,xiāng guāng,Fragrant Light (Buddha epithet),阿彌陀經,AmitabhaSutra
寶華,bǎo huā,jewelled flower,阿彌陀經,AmitabhaSutra
華嚴,huā yán,Flower Adornment (Avataṃsaka),阿彌陀經,AmitabhaSutra
娑羅,suō luó,Sāla (sal-tree),阿彌陀經,AmitabhaSutra
受持,shòu chí,to receive and uphold (a teaching),阿彌陀經,AmitabhaSutra
信受,xìn shòu,to believe and accept,阿彌陀經,AmitabhaSutra
娑婆,suō pó,Sahā (the world-system we inhabit),阿彌陀經,AmitabhaSutra
五濁,wǔ zhuó,the five turbidities (defilements of the age),阿彌陀經,AmitabhaSutra
惡世,è shì,evil age; degenerate time,阿彌陀經,AmitabhaSutra
劫濁,jié zhuó,kalpa turbidity (turbidity of the age),阿彌陀經,AmitabhaSutra
見濁,jiàn zhuó,view turbidity (turbidity of wrong views),阿彌陀經,AmitabhaSutra
煩惱,fán nǎo,affliction; defilement (kleśa),阿彌陀經,AmitabhaSutra
命濁,mìng zhuó,life turbidity (turbidity of lifespan),阿彌陀經,AmitabhaSutra
世間,shì jiān,the world; worldly realm,阿彌陀經,AmitabhaSutra
難信,nán xìn,hard to believe,阿彌陀經,AmitabhaSutra
歡喜,huān xǐ,joyful; delighted,阿彌陀經,AmitabhaSutra
作禮,zuò lǐ,to bow; pay homage,阿彌陀經,AmitabhaSutra
蓮池海會,lián chí hǎi huì,Lotus Pool Vast Sea Assembly (the Pure Land assembly),阿彌陀經,AmitabhaSutra
阿彌陀,ā mí tuó,Amitābha / Amitāyus (Buddha of Limitless Light/Life),阿彌陀經,AmitabhaSutra
如是我聞,rú shì wǒ wén,Thus have I heard (canonical sutra opening),阿彌陀經,AmitabhaSutra
舍衛國,shè wèi guó,Shravasti (city/kingdom name),阿彌陀經,AmitabhaSutra
祇樹給孤獨園,qí shù jǐ gū dú yuán,"Jeta Grove, Garden of the Benefactor of Orphans and the Solitary (Anāthapiṇḍika)",阿彌陀經,AmitabhaSutra
大比丘,dà bǐ qiū,great bhikshu (senior monk),阿彌陀經,AmitabhaSutra
比丘僧,bǐ qiū sēng,bhikshu sangha (community of monks),阿彌陀經,AmitabhaSutra
大阿羅漢,dà ā luó hàn,great arhat,阿彌陀經,AmitabhaSutra
眾所知識,zhòng suǒ zhī shí,known and recognized by all (the assembly),阿彌陀經,AmitabhaSutra
舍利弗,shè lì fú,Shariputra (chief disciple),阿彌陀經,AmitabhaSutra
摩訶目犍連,mó hē mù jiān lián,Mahāmaudgalyāyana (great disciple),阿彌陀經,AmitabhaSutra
摩訶迦葉,mó hē jiā shè,Mahākāśyapa (great disciple),阿彌陀經,AmitabhaSutra
摩訶迦旃延,mó hē jiā zhān yán,Mahākātyāyana (great disciple),阿彌陀經,AmitabhaSutra
摩訶拘絺羅,mó hē jū chī luó,Mahākauṣṭhila (great disciple),阿彌陀經,AmitabhaSutra
離婆多,lí pó duō,Revata (great disciple),阿彌陀經,AmitabhaSutra
周利槃陀伽,zhōu lì pán tuó qié,Cūḍapanthaka / Suddhipanthaka (great disciple),阿彌陀經,AmitabhaSutra
阿難陀,ā nán tuó,Ānanda (great disciple),阿彌陀經,AmitabhaSutra
羅睺羅,luó hóu luó,"Rāhula (Buddha's son, great disciple)",阿彌陀經,AmitabhaSutra
憍梵波提,jiāo fàn bō tí,Gavāṃpati (great disciple),阿彌陀經,AmitabhaSutra
賓頭盧頗羅墮,bīn tóu lú pō luó duò,Piṇḍola-Bhāradvāja (great disciple),阿彌陀經,AmitabhaSutra
迦留陀夷,jiā liú tuó yí,Kālodāyin (great disciple),阿彌陀經,AmitabhaSutra
摩訶劫賓那,mó hē jié bīn nà,Mahā-Kapphiṇa (great disciple),阿彌陀經,AmitabhaSutra
薄拘羅,bó jū luó,Vakkula (great disciple),阿彌陀經,AmitabhaSutra
阿樓馱,ā lóu tuó,Aniruddha (great disciple),阿彌陀經,AmitabhaSutra
文殊師利,wén shū shī lì,Mañjuśrī (bodhisattva),阿彌陀經,AmitabhaSutra
法王子,fǎ wáng zǐ,Dharma Prince (epithet of a great bodhisattva),阿彌陀經,AmitabhaSutra
阿逸多,ā yì duō,Ajita (bodhisattva = Maitreya),阿彌陀經,AmitabhaSutra
乾陀訶提,qián tuó hē tí,Gandhahastin (bodhisattva),阿彌陀經,AmitabhaSutra
常精進,cháng jīng jìn,"Constant Vigor (a bodhisattva's name, semantic)",阿彌陀經,AmitabhaSutra
釋提桓因,shì tí huán yīn,"Śakra (Indra), chief among gods",阿彌陀經,AmitabhaSutra
十萬億,shí wàn yì,hundreds of thousands of millions (vast number),阿彌陀經,AmitabhaSutra
極樂國土,jí lè guó dù,Land of Ultimate Bliss,阿彌陀經,AmitabhaSutra
七寶池,qī bǎo chí,pools of the seven jewels,阿彌陀經,AmitabhaSutra
八功德水,bā gōng dé shuǐ,the eight waters of merit and virtue,阿彌陀經,AmitabhaSutra
功德莊嚴,gōng dé zhuāng yán,meritorious adornment,阿彌陀經,AmitabhaSutra
晝夜六時,zhòu yè liù shí,the six periods of day and night,阿彌陀經,AmitabhaSutra
曼陀羅華,màn tuó luó huā,mandārava flowers (heavenly blossoms),阿彌陀經,AmitabhaSutra
曼陀羅,màn tuó luó,"mandārava (heavenly flower-name, Skt. transliteration)",阿彌陀經,AmitabhaSutra
迦陵頻伽,jiā líng pín qié,kalaviṅka (sweet-voiced bird of paradise),阿彌陀經,AmitabhaSutra
七菩提分,qī pú tí fēn,the seven bodhi shares (factors of awakening),阿彌陀經,AmitabhaSutra
菩提分,pú tí fēn,shares of bodhi; factor of awakening,阿彌陀經,AmitabhaSutra
八聖道分,bā shèng dào fēn,the eight sagely way shares (Noble Eightfold Path),阿彌陀經,AmitabhaSutra
所以者何,suǒ yǐ zhě hé,for what reason? (rhetorical sutra phrase),阿彌陀經,AmitabhaSutra
三惡道,sān è dào,"the three evil paths/destinies (hell, hungry-ghost, animal)",阿彌陀經,AmitabhaSutra
阿彌陀佛,ā mí tuó fó,Amitābha Buddha,阿彌陀經,AmitabhaSutra
寶行樹,bǎo háng shù,jewelled rows of trees,阿彌陀經,AmitabhaSutra
寶羅網,bǎo luó wǎng,jewelled netting,阿彌陀經,AmitabhaSutra
於汝意云何,yú rǔ yì yún hé,what do you think? (sutra interrogative),阿彌陀經,AmitabhaSutra
阿僧祇劫,ā sēng qí jié,asaṃkhyeya kalpas (incalculable eons),阿彌陀經,AmitabhaSutra
阿鞞跋致,ā pí bá zhì,avaivartika (one of irreversible progress),阿彌陀經,AmitabhaSutra
一生補處,yī shēng bǔ chù,ekajāti-pratibaddha (bodhisattva one birth from buddhahood),阿彌陀經,AmitabhaSutra
善男子,shàn nán zǐ,good man (sutra address),阿彌陀經,AmitabhaSutra
善女人,shàn nǚ rén,good woman (sutra address),阿彌陀經,AmitabhaSutra
一心不亂,yī xīn bù luàn,single-minded and unconfused,阿彌陀經,AmitabhaSutra
臨命終,lín mìng zhōng,approaching the end of life,阿彌陀經,AmitabhaSutra
不可思議,bù kě sī yì,inconceivable; beyond thought,阿彌陀經,AmitabhaSutra
阿閦鞞,ā chù pí,Akṣobhya (Buddha),阿彌陀經,AmitabhaSutra
恒河沙,héng hé shā,Ganges sands (innumerable),阿彌陀經,AmitabhaSutra
廣長舌,guǎng cháng shé,vast and long tongue (a mark of a Buddha),阿彌陀經,AmitabhaSutra
廣長舌相,guǎng cháng shé xiàng,the appearance/mark of the vast and long tongue,阿彌陀經,AmitabhaSutra
三千大千世界,sān qiān dà qiān shì jiè,the three-thousand great-thousand world-system (trichiliocosm),阿彌陀經,AmitabhaSutra
一切諸佛,yī qiè zhū fó,all the Buddhas,阿彌陀經,AmitabhaSutra
一切諸佛所護念經,yī qiè zhū fó suǒ hù niàn jīng,Sutra of the Mindful One Of Whom All Buddhas Are Protective (the sutra's other name),阿彌陀經,AmitabhaSutra
日月燈,rì yuè dēng,Sun-Moon-Lamp (Buddha epithet),阿彌陀經,AmitabhaSutra
見一切義,jiàn yī qiè yì,Vision of All Meaning (Buddha epithet),阿彌陀經,AmitabhaSutra
不退轉,bù tuì zhuǎn,non-retrogression; irreversible,阿彌陀經,AmitabhaSutra
釋迦牟尼,shì jiā móu ní,Śākyamuni (the historical Buddha),阿彌陀經,AmitabhaSutra
五濁惡世,wǔ zhuó è shì,the evil time of the five turbidities,阿彌陀經,AmitabhaSutra
煩惱濁,fán nǎo zhuó,affliction turbidity (turbidity of defilements),阿彌陀經,AmitabhaSutra
